Card ID,Card Name,Expansion,Collection No.,Stage (Pokémon)/Type (Energy and Trainer),Rule,Category,Previous stage,HP,Type,Weakness,Resistance (Type),Retreat,Move Name,Cost,Damage,Effect Explanation
667,Corphish,MEG,33,Basic Pokémon,n/a,n/a,n/a,80,{W},{L},n/a,2,Vise Grip,●,10,n/a
667,Corphish,MEG,33,Basic Pokémon,n/a,n/a,n/a,80,{W},{L},n/a,2,Take Down,●●,30,This Pokémon also does 10 damage to itself.
668,Gimmighoul,MEG,67,Basic Pokémon,n/a,n/a,n/a,70,{P},{D},{F},2,Slap,●,10,n/a
669,Sandshrew,MEG,68,Basic Pokémon,n/a,n/a,n/a,70,{F},{G},n/a,1,Dig Claws,●,10,n/a
669,Sandshrew,MEG,68,Basic Pokémon,n/a,n/a,n/a,70,{F},{G},n/a,1,Mud-Slap,{F}●,20,n/a
670,Sandslash,MEG,69,Stage 1 Pokémon,n/a,n/a,Sandshrew,120,{F},{G},n/a,1,Sand Attack,●●,50,"During your opponent’s next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn’t happen."
670,Sandslash,MEG,69,Stage 1 Pokémon,n/a,n/a,Sandshrew,120,{F},{G},n/a,1,Mud Shot,{F}●●,100,n/a
671,Onix,MEG,70,Basic Pokémon,n/a,n/a,n/a,120,{F},{G},n/a,4,Bind,●●,30,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
671,Onix,MEG,70,Basic Pokémon,n/a,n/a,n/a,120,{F},{G},n/a,4,Strength,●●●●,100,n/a
672,Tyrogue,MEG,71,Basic Pokémon,n/a,n/a,n/a,30,{F},{P},n/a,n/a,Pow-Pow Punching,No cost,10,Flip a coin until you get tails. This attack does 30 more damage for each heads.
673,Makuhita,MEG,72,Basic Pokémon,n/a,n/a,n/a,80,{F},{P},n/a,2,Corkscrew Punch,{F},10,n/a
673,Makuhita,MEG,72,Basic Pokémon,n/a,n/a,n/a,80,{F},{P},n/a,2,Confront,{F}{F},30,n/a
674,Hariyama,MEG,73,Stage 1 Pokémon,n/a,n/a,Makuhita,150,{F},{P},n/a,3,[Ability] Heave-Ho Catcher,n/a,n/a,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Switch in 1 of your opponent’s Benched Pokémon to the Active Spot."
674,Hariyama,MEG,73,Stage 1 Pokémon,n/a,n/a,Makuhita,150,{F},{P},n/a,3,Wild Press,{F}{F}{F},210,This Pokémon also does 70 damage to itself.
675,Lunatone,MEG,74,Basic Pokémon,n/a,n/a,n/a,110,{F},{G},n/a,1,[Ability] Lunar Cycle,n/a,n/a,"Once during your turn, if you have Solrock in play, you may discard a Basic {F} Energy card from your hand in order to use this Ability. Draw 3 cards. You can’t use more than 1 Lunar Cycle Ability each turn."
675,Lunatone,MEG,74,Basic Pokémon,n/a,n/a,n/a,110,{F},{G},n/a,1,Power Gem,{F}{F},50,n/a
676,Solrock,MEG,75,Basic Pokémon,n/a,n/a,n/a,110,{F},{G},n/a,1,Cosmic Beam,{F},70,"If you don’t have Lunatone on your Bench, this attack does nothing. This attack’s damage isn’t affected by Weakness or Resistance."
677,Riolu,MEG,76,Basic Pokémon,n/a,n/a,n/a,80,{F},{P},n/a,2,Accelerating Stab,{F},30,"During your next turn, this Pokémon can’t use Accelerating Stab."
678,Mega Lucario ex,MEG,77,Stage 1 Pokémon,Mega Pokémon ex,n/a,Riolu,340,{F},{P},n/a,2,Aura Jab,{F},130,Attach up to 3 Basic {F} Energy cards from your discard pile to your Benched Pokémon in any way you like.
678,Mega Lucario ex,MEG,77,Stage 1 Pokémon,Mega Pokémon ex,n/a,Riolu,340,{F},{P},n/a,2,Mega Brave,{F}{F},270,"During your next turn, this Pokémon can’t use Mega Brave."
679,Croagunk,MEG,78,Basic Pokémon,n/a,n/a,n/a,70,{F},{P},n/a,1,Smack,{F},20,n/a
680,Toxicroak,MEG,79,Stage 1 Pokémon,n/a,n/a,Croagunk,130,{F},{P},n/a,1,Reckless Charge,{F},70,This Pokémon also does 20 damage to itself.
681,Marshadow,MEG,80,Basic Pokémon,n/a,n/a,n/a,90,{F},{P},n/a,1,Shadowy Side Kick,{F}{F},60,"If your opponent’s Pokémon is Knocked Out by damage from this attack, during your opponent’s next turn, prevent all damage from and effects of attacks done to this Pokémon."
682,Stonjourner,MEG,81,Basic Pokémon,n/a,n/a,n/a,130,{F},{G},n/a,2,Stony Kick,{F},20,This attack also does 20 damage to 1 of your opponent’s Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
682,Stonjourner,MEG,81,Basic Pokémon,n/a,n/a,n/a,130,{F},{G},n/a,2,Boundless Power,{F}{F}●,140,"During your next turn, this Pokémon can’t use attacks."
683,Nacli,MEG,82,Basic Pokémon,n/a,n/a,n/a,70,{F},{G},n/a,2,Ram,●,10,n/a
684,Naclstack,MEG,83,Stage 1 Pokémon,n/a,n/a,Nacli,110,{F},{G},n/a,3,Rock Hurl,{F}●,50,This attack’s damage isn’t affected by Resistance.
685,Garganacl,MEG,84,Stage 2 Pokémon,n/a,n/a,Naclstack,180,{F},{G},n/a,4,[Ability] Powerful a-Salt,n/a,n/a,Attacks used by your {F} Pokémon do 30 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance).
685,Garganacl,MEG,84,Stage 2 Pokémon,n/a,n/a,Naclstack,180,{F},{G},n/a,4,Hammer In,{F}{F}●,130,n/a
686,Crawdaunt,MEG,85,Stage 1 Pokémon,n/a,n/a,Corphish,130,{D},{G},n/a,3,Vise Grip,●,30,n/a
686,Crawdaunt,MEG,85,Stage 1 Pokémon,n/a,n/a,Corphish,130,{D},{G},n/a,3,Cutting Riposte,{D}{D}●,130,"If this Pokémon has any damage counters on it, this attack can be used for {D}."
687,Mega Absol ex,MEG,86,Basic Pokémon,Mega Pokémon ex,n/a,n/a,280,{D},{G},n/a,2,Terminal Period,{D}●,n/a,"If your opponent’s Active Pokémon has exactly 6 damage counters on it, that Pokémon is Knocked Out."
687,Mega Absol ex,MEG,86,Basic Pokémon,Mega Pokémon ex,n/a,n/a,280,{D},{G},n/a,2,Claw of Darkness,{D}{D}●,200,"Your opponent reveals their hand, and you discard a card you find there."
688,Spiritomb,MEG,87,Basic Pokémon,n/a,n/a,n/a,80,{D},{G},n/a,1,[Ability] Spiteful Swirl,n/a,n/a,"If your Active {D} Pokémon is damaged by an attack from your opponent’s Pokémon (even if your Active {D} Pokémon is Knocked Out), place 1 damage counter on the Attacking Pokémon."
688,Spiritomb,MEG,87,Basic Pokémon,n/a,n/a,n/a,80,{D},{G},n/a,1,Mountain Breaker,{D},10,Discard the top card of your opponent’s deck.
689,Yveltal,MEG,88,Basic Pokémon,n/a,n/a,n/a,110,{D},{L},{F},n/a,Clutch,{D},20,"During your opponent’s next turn, the Defending Pokémon can’t retreat."
689,Yveltal,MEG,88,Basic Pokémon,n/a,n/a,n/a,110,{D},{L},{F},n/a,Dark Feather,{D}{D}●,110,n/a
690,Nickit,MEG,89,Basic Pokémon,n/a,n/a,n/a,70,{D},{G},n/a,1,Darkness Fang,{D},20,n/a
691,Thievul,MEG,90,Stage 1 Pokémon,n/a,n/a,Nickit,120,{D},{G},n/a,1,Greedy Hunt,●,20,You may draw cards until you have 6 cards in your hand.
691,Thievul,MEG,90,Stage 1 Pokémon,n/a,n/a,Nickit,120,{D},{G},n/a,1,Pitch-Black Fangs,{D}●,60,n/a
692,Shroodle,MEG,91,Basic Pokémon,n/a,n/a,n/a,60,{D},{F},n/a,1,Poison Jab,{D}●,20,Your opponent’s Active Pokémon is now Poisoned.
693,Grafaiai,MEG,92,Stage 1 Pokémon,n/a,n/a,Shroodle,100,{D},{F},n/a,1,Miraculous Paint,{D}●,90,"Flip a coin. If heads, choose a Special Condition. Your opponent’s Active Pokémon is now affected by that Special Condition."
694,Steelix,MEG,93,Stage 1 Pokémon,n/a,n/a,Onix,200,{M},{R},{G},4,Welcoming Tail,●●,40,"If you have exactly 6 Prize cards remaining, this attack does 200 more damage."
694,Steelix,MEG,93,Stage 1 Pokémon,n/a,n/a,Onix,200,{M},{R},{G},4,Skull Bash,{M}{M}●●,140,n/a
695,Mega Mawile ex,MEG,94,Basic Pokémon,Mega Pokémon ex,n/a,n/a,270,{M},{R},{G},2,Gobble Down,{M}{M},80×,This attack does 80 damage for each Prize card you have taken.
695,Mega Mawile ex,MEG,94,Basic Pokémon,Mega Pokémon ex,n/a,n/a,270,{M},{R},{G},2,Huge Bite,{M}{M}●,260,"If your opponent’s Active Pokémon already has any damage counters on it, this attack’s base damage is 30."
696,Dialga,MEG,95,Basic Pokémon,n/a,n/a,n/a,140,{M},{R},{G},2,Beam,{M},30,n/a
696,Dialga,MEG,95,Basic Pokémon,n/a,n/a,n/a,140,{M},{R},{G},2,Chrono Burst,{M}{M}●,80,You may shuffle all Energy attached to this Pokémon into your deck and have this attack do 80 more damage.
697,Tinkatink,MEG,96,Basic Pokémon,n/a,n/a,n/a,70,{M},{R},{G},1,Beat,{M},20,n/a
698,Tinkatuff,MEG,97,Stage 1 Pokémon,n/a,n/a,Tinkatink,90,{M},{R},{G},2,[Ability] Haphazard Hammer,n/a,n/a,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Flip a coin. If heads, discard an Energy from your opponent’s Active Pokémon."
698,Tinkatuff,MEG,97,Stage 1 Pokémon,n/a,n/a,Tinkatink,90,{M},{R},{G},2,Light Punch,{M},30,n/a
699,Tinkaton,MEG,98,Stage 2 Pokémon,n/a,n/a,Tinkatuff,160,{M},{R},{G},2,Windup Swing,{M},-240,This attack does 60 less damage for each Energy attached to your opponent’s Active Pokémon.
700,Gholdengo,MEG,99,Stage 1 Pokémon,n/a,n/a,Gimmighoul,130,{M},{R},{G},2,All-You-Can-Grab,●,n/a,"Flip a coin until you get tails. Search your deck for a number of cards up to the number of heads and put them into your hand. Then, shuffle your deck."
700,Gholdengo,MEG,99,Stage 1 Pokémon,n/a,n/a,Gimmighoul,130,{M},{R},{G},2,Speed Attack,{M}●●,100,n/a
701,Spearow,MEG,102,Basic Pokémon,n/a,n/a,n/a,60,{C},{L},{F},1,Pluck,●,10,"Before doing damage, discard all Pokémon Tools from your opponent’s Active Pokémon."
702,Fearow,MEG,103,Stage 1 Pokémon,n/a,n/a,Spearow,100,{C},{L},{F},1,Repeating Drill,●,30×,Flip 5 coins. This attack does 30 damage for each heads.
703,Miltank,MEG,106,Basic Pokémon,n/a,n/a,n/a,120,{C},{F},n/a,2,Bellyful of Milk,●●,n/a,"Flip 2 coins. If both of them are heads, heal all damage from 1 of your Pokémon."
703,Miltank,MEG,106,Basic Pokémon,n/a,n/a,n/a,120,{C},{F},n/a,2,Tackle,●●●,60,n/a
704,Yungoos,MEG,109,Basic Pokémon,n/a,n/a,n/a,70,{C},{F},n/a,1,Collect,●,n/a,Draw a card.
704,Yungoos,MEG,109,Basic Pokémon,n/a,n/a,n/a,70,{C},{F},n/a,1,Gnaw,●●,20,n/a
705,Gumshoos,MEG,110,Stage 1 Pokémon,n/a,n/a,Yungoos,100,{C},{F},n/a,1,[Ability] Evidence Gathering,n/a,n/a,"Once during your turn, you may use this Ability. Switch a card from your hand with the top card of your deck."
705,Gumshoos,MEG,110,Stage 1 Pokémon,n/a,n/a,Yungoos,100,{C},{F},n/a,1,Bite,●●,50,n/a
706,Tangela,MEG,6,Basic Pokémon,n/a,n/a,n/a,80,{G},{R},n/a,2,Poison Powder,{G},n/a,Your opponent’s Active Pokémon is now Poisoned.
706,Tangela,MEG,6,Basic Pokémon,n/a,n/a,n/a,80,{G},{R},n/a,2,Hook,{G}●●,30,n/a
707,Tangrowth,MEG,7,Stage 1 Pokémon,n/a,n/a,Tangela,150,{G},{R},n/a,4,Absorb,{G}●,30,Heal 30 damage from this Pokémon.
707,Tangrowth,MEG,7,Stage 1 Pokémon,n/a,n/a,Tangela,150,{G},{R},n/a,4,Pumped-Up Whip,{G}{G}●●,120,"If this Pokémon has at least 2 extra Energy attached (in addition to this attack’s cost), this attack does 140 more damage."
708,Chikorita,MEG,8,Basic Pokémon,n/a,n/a,n/a,70,{G},{R},n/a,1,Razor Leaf,{G},20,n/a
709,Bayleef,MEG,9,Stage 1 Pokémon,n/a,n/a,Chikorita,110,{G},{R},n/a,2,Push Down,{G}●,50,Switch out your opponent’s Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)
710,Meganium,MEG,10,Stage 2 Pokémon,n/a,n/a,Bayleef,160,{G},{R},n/a,2,[Ability] Wild Growth,n/a,n/a,Each Basic {G} Energy attached to all of your Pokémon provides {G}{G} Energy. The effect of Wild Growth doesn’t stack.
710,Meganium,MEG,10,Stage 2 Pokémon,n/a,n/a,Bayleef,160,{G},{R},n/a,2,Solar Beam,{G}{G}●●,140,n/a
711,Shuckle,MEG,11,Basic Pokémon,n/a,n/a,n/a,80,{G},{R},n/a,1,[Ability] Fermented Juice,n/a,n/a,"Once during your turn, if this Pokémon has any {G} Energy attached, you may use this Ability. Heal 30 damage from 1 of your Pokémon."
711,Shuckle,MEG,11,Basic Pokémon,n/a,n/a,n/a,80,{G},{R},n/a,1,Rollout,{G}●,30,n/a
712,Nincada,MEG,16,Basic Pokémon,n/a,n/a,n/a,50,{G},{R},n/a,1,Scratch,●,20,n/a
713,Ninjask,MEG,17,Stage 1 Pokémon,n/a,n/a,Nincada,80,{G},{R},n/a,n/a,[Ability] Cast-Off Shell,n/a,n/a,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Search your deck for a Shedinja and put it onto your Bench. Then, shuffle your deck."
713,Ninjask,MEG,17,Stage 1 Pokémon,n/a,n/a,Nincada,80,{G},{R},n/a,n/a,U-turn,{G}●,90,Switch this Pokémon with 1 of your Benched Pokémon.
714,Dhelmise,MEG,18,Basic Pokémon,n/a,n/a,n/a,120,{G},{R},n/a,2,Earthen Power,{G}●,30,"If you have a Stadium in play, this attack does 50 more damage."
715,Litleo,MEG,23,Basic Pokémon,n/a,n/a,n/a,70,{R},{W},n/a,2,Flare,{R}●,30,n/a
716,Pyroar,MEG,24,Stage 1 Pokémon,n/a,n/a,Litleo,130,{R},{W},n/a,2,[Ability] Intimidating Fang,n/a,n/a,"As long as this Pokémon is in the Active Spot, attacks used by your opponent’s Active Pokémon do 30 less damage (before applying Weakness and Resistance)."
716,Pyroar,MEG,24,Stage 1 Pokémon,n/a,n/a,Litleo,130,{R},{W},n/a,2,Searing Flame,{R}●●,70,Your opponent’s Active Pokémon is now Burned.
717,Sizzlipede,MEG,29,Basic Pokémon,n/a,n/a,n/a,80,{R},{W},n/a,2,Ram,{R},10,n/a
717,Sizzlipede,MEG,29,Basic Pokémon,n/a,n/a,n/a,80,{R},{W},n/a,2,Combustion,{R}{R}●,50,n/a
718,Centiskorch,MEG,30,Stage 1 Pokémon,n/a,n/a,Sizzlipede,140,{R},{W},n/a,3,Coiling Crush,●●,50,"Flip 2 coins. For each heads, discard an Energy from your opponent’s Active Pokémon."
718,Centiskorch,MEG,30,Stage 1 Pokémon,n/a,n/a,Sizzlipede,140,{R},{W},n/a,3,Heat Crawler,{R}{R}●●,140,n/a
719,Chi-Yu,MEG,31,Basic Pokémon,n/a,n/a,n/a,110,{R},{W},n/a,1,Scorching Earth,{R},40,"If your opponent has a Stadium in play, discard it. If you do, your opponent can’t play any Stadium cards from their hand during their next turn."
720,Mantine,MEG,32,Basic Pokémon,n/a,n/a,n/a,110,{W},{L},n/a,1,Call for Family,●,n/a,"Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck."
720,Mantine,MEG,32,Basic Pokémon,n/a,n/a,n/a,110,{W},{L},n/a,1,Waterfall,{W}●,50,n/a
721,Kyogre,MEG,34,Basic Pokémon,n/a,n/a,n/a,150,{W},{L},n/a,3,Riptide,{W},20×,"This attack does 20 damage for each Basic {W} Energy card in your discard pile. Then, shuffle those cards into your deck."
721,Kyogre,MEG,34,Basic Pokémon,n/a,n/a,n/a,150,{W},{L},n/a,3,Swirling Waves,{W}{W}●,130,Discard 2 Energy from this Pokémon.
722,Snover,MEG,35,Basic Pokémon,n/a,n/a,n/a,90,{W},{M},n/a,3,Beat,{W},10,n/a
722,Snover,MEG,35,Basic Pokémon,n/a,n/a,n/a,90,{W},{M},n/a,3,Icy Snow,{W}{W},30,n/a
723,Mega Abomasnow ex,MEG,36,Stage 1 Pokémon,Mega Pokémon ex,n/a,Snover,350,{W},{M},n/a,4,Hammer-lanche,{W}{W},100×,"Discard the top 6 cards of your deck, and this attack does 100 damage for each Basic {W} Energy card that you discarded in this way."
723,Mega Abomasnow ex,MEG,36,Stage 1 Pokémon,Mega Pokémon ex,n/a,Snover,350,{W},{M},n/a,4,Frost Barrier,{W}{W}{W},200,"During your opponent’s next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."
724,Clauncher,MEG,37,Basic Pokémon,n/a,n/a,n/a,80,{W},{L},n/a,2,Wave Splash,{W}{W},50,n/a
725,Clawitzer,MEG,38,Stage 1 Pokémon,n/a,n/a,Clauncher,130,{W},{L},n/a,2,[Ability] Fall Back to Reload,n/a,n/a,"Once during your turn, when this Pokémon moves from the Active Spot to your Bench, you may use this Ability. Attach up to 2 Basic {W} Energy cards from your hand to this Pokémon."
725,Clawitzer,MEG,38,Stage 1 Pokémon,n/a,n/a,Clauncher,130,{W},{L},n/a,2,Aqua Launcher,{W}{W}{W},210,Discard all Energy from this Pokémon.
726,Sobble,MEG,39,Basic Pokémon,n/a,n/a,n/a,70,{W},{L},n/a,1,Surprise Attack,{W},30,"Flip a coin. If tails, this attack does nothing."
727,Drizzile,MEG,40,Stage 1 Pokémon,n/a,n/a,Sobble,100,{W},{L},n/a,1,Double Stab,{W},30×,Flip 2 coins. This attack does 30 damage for each heads.
728,Inteleon,MEG,41,Stage 2 Pokémon,n/a,n/a,Drizzile,150,{W},{L},n/a,1,Bring Down,{W},n/a,"Choose a Pokémon in play (yours or your opponent’s) that has the least HP remaining, except for this Pokémon, and it is Knocked Out."
728,Inteleon,MEG,41,Stage 2 Pokémon,n/a,n/a,Drizzile,150,{W},{L},n/a,1,Water Shot,{W},110,Discard an Energy from this Pokémon.
729,Snom,MEG,42,Basic Pokémon,n/a,n/a,n/a,50,{W},{M},n/a,1,Hide,{W},n/a,"Flip a coin. If heads, during your opponent’s next turn, prevent all damage from and effects of attacks done to this Pokémon."
730,Frosmoth,MEG,43,Stage 1 Pokémon,n/a,n/a,Snom,110,{W},{M},n/a,2,Chilling Wings,{W},n/a,This attack does 20 damage to each of your opponent’s Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.) Your opponent’s Active Pokémon is now Asleep.
731,Eiscue,MEG,44,Basic Pokémon,n/a,n/a,n/a,110,{W},{M},n/a,1,Freezing Headbutt,●,20,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
731,Eiscue,MEG,44,Basic Pokémon,n/a,n/a,n/a,110,{W},{M},n/a,1,Tackle,{W}●●,90,n/a
732,Magnemite,MEG,45,Basic Pokémon,n/a,n/a,n/a,70,{L},{F},n/a,1,Beam,{L},10,n/a
733,Magneton,MEG,46,Stage 1 Pokémon,n/a,n/a,Magnemite,90,{L},{F},n/a,2,Thunder Shock,{L},30,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
734,Magnezone,MEG,47,Stage 2 Pokémon,n/a,n/a,Magneton,160,{L},{F},n/a,3,Upper Spark,{L},50,"If this Pokémon evolved from Magneton during this turn, this attack does 120 more damage."
734,Magnezone,MEG,47,Stage 2 Pokémon,n/a,n/a,Magneton,160,{L},{F},n/a,3,Flashing Bolt,{L}{L},160,"During your next turn, this Pokémon can’t use Flashing Bolt."
735,Raikou,MEG,48,Basic Pokémon,n/a,n/a,n/a,120,{L},{F},n/a,1,Electro Fall,{L}{L},30,"If you have at least 4 {L} Energy in play, this attack does 90 more damage."
736,Electrike,MEG,49,Basic Pokémon,n/a,n/a,n/a,70,{L},{F},n/a,1,Thunder Jolt,{L},30,This Pokémon also does 10 damage to itself.
737,Mega Manectric ex,MEG,50,Stage 1 Pokémon,Mega Pokémon ex,n/a,Electrike,330,{L},{F},n/a,n/a,Flash Ray,{L}{L},120,"During your opponent’s next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon."
737,Mega Manectric ex,MEG,50,Stage 1 Pokémon,Mega Pokémon ex,n/a,Electrike,330,{L},{F},n/a,n/a,Riotous Blasting,{L}{L}{L},200,You may discard all Energy from this Pokémon and have this attack do 130 more damage.
738,Pachirisu,MEG,51,Basic Pokémon,n/a,n/a,n/a,70,{L},{F},n/a,1,Electrified Incisors,{L},10,"During your opponent’s next turn, whenever they attach an Energy card from their hand to the Defending Pokémon, place 8 damage counters on that Pokémon."
739,Helioptile,MEG,52,Basic Pokémon,n/a,n/a,n/a,70,{L},{F},n/a,1,Double Scratch,●,10×,Flip 2 coins. This attack does 10 damage for each heads.
740,Heliolisk,MEG,53,Stage 1 Pokémon,n/a,n/a,Helioptile,120,{L},{F},n/a,1,Dazzle Blast,●,20,Your opponent’s Active Pokémon is now Confused.
740,Heliolisk,MEG,53,Stage 1 Pokémon,n/a,n/a,Helioptile,120,{L},{F},n/a,1,Head Bolt,{L}●,70,n/a
741,Abra,MEG,54,Basic Pokémon,n/a,n/a,n/a,50,{P},{D},{F},1,Teleportation Attack,{P},10,Switch this Pokémon with 1 of your Benched Pokémon.
742,Kadabra,MEG,55,Stage 1 Pokémon,n/a,n/a,Abra,80,{P},{D},{F},1,[Ability] Psychic Draw,n/a,n/a,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Draw 2 cards."
742,Kadabra,MEG,55,Stage 1 Pokémon,n/a,n/a,Abra,80,{P},{D},{F},1,Super Psy Bolt,{P},30,n/a
743,Alakazam,MEG,56,Stage 2 Pokémon,n/a,n/a,Kadabra,140,{P},{D},{F},1,[Ability] Psychic Draw,n/a,n/a,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Draw 3 cards."
743,Alakazam,MEG,56,Stage 2 Pokémon,n/a,n/a,Kadabra,140,{P},{D},{F},1,Powerful Hand,{P},n/a,Place 2 damage counters on your opponent’s Active Pokémon for each card in your hand.
744,Jynx,MEG,57,Basic Pokémon,n/a,n/a,n/a,110,{P},{D},{F},1,Psychic,{P}{P},30,This attack does 30 more damage for each Energy attached to your opponent’s Active Pokémon.
745,Ralts,MEG,58,Basic Pokémon,n/a,n/a,n/a,70,{P},{D},{F},1,Collect,●,n/a,Draw a card.
745,Ralts,MEG,58,Basic Pokémon,n/a,n/a,n/a,70,{P},{D},{F},1,Headbutt,{P},10,n/a
746,Kirlia,MEG,59,Stage 1 Pokémon,n/a,n/a,Ralts,100,{P},{D},{F},1,Call Sign,{P},n/a,"Search your deck for up to 3 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck."
746,Kirlia,MEG,59,Stage 1 Pokémon,n/a,n/a,Ralts,100,{P},{D},{F},1,Psyshot,{P},30,n/a
747,Mega Gardevoir ex,MEG,60,Stage 2 Pokémon,Mega Pokémon ex,n/a,Kirlia,360,{P},{D},{F},2,Overflowing Wishes,{P},n/a,"For each of your Benched Pokémon, search your deck for a Basic {P} Energy card and attach it to that Pokémon. Then, shuffle your deck."
747,Mega Gardevoir ex,MEG,60,Stage 2 Pokémon,Mega Pokémon ex,n/a,Kirlia,360,{P},{D},{F},2,Mega Symphonia,{P},50×,This attack does 50 damage for each {P} Energy attached to all of your Pokémon.
748,Shedinja,MEG,61,Stage 1 Pokémon,n/a,n/a,Nincada,60,{P},{D},{F},n/a,[Ability] Fragile Husk,n/a,n/a,"If this Pokémon is Knocked Out by damage from an attack from your opponent’s Pokémon {ex}, your opponent can’t take any Prize cards for it."
748,Shedinja,MEG,61,Stage 1 Pokémon,n/a,n/a,Nincada,60,{P},{D},{F},n/a,Damage Beat,{P},20×,This attack does 20 damage for each damage counter on your opponent’s Active Pokémon.
749,Spoink,MEG,62,Basic Pokémon,n/a,n/a,n/a,70,{P},{D},{F},1,Triple Spin,{P},10×,Flip 3 coins. This attack does 10 damage for each heads.
750,Grumpig,MEG,63,Stage 1 Pokémon,n/a,n/a,Spoink,120,{P},{D},{F},2,[Ability] Energized Steps,n/a,n/a,"Once during your turn, when you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. Look at the top 4 cards of your deck and attach any number of Basic Energy cards you find there to your Pokémon in any way you like. Shuffle the other cards back into your deck."
750,Grumpig,MEG,63,Stage 1 Pokémon,n/a,n/a,Spoink,120,{P},{D},{F},2,Psychic Sphere,{P}●●,60,n/a
751,Xerneas,MEG,64,Basic Pokémon,n/a,n/a,n/a,120,{P},{M},n/a,1,Geo Gate,{P},n/a,"Search your deck for up to 3 Basic {P} Pokémon and put them onto your Bench. Then, shuffle your deck."
751,Xerneas,MEG,64,Basic Pokémon,n/a,n/a,n/a,120,{P},{M},n/a,1,Bright Horns,{P}{P}●,120,"During your next turn, this Pokémon can’t use Bright Horns."
752,Greavard,MEG,65,Basic Pokémon,n/a,n/a,n/a,80,{P},{D},{F},3,Stampede,{P},10,n/a
752,Greavard,MEG,65,Basic Pokémon,n/a,n/a,n/a,80,{P},{D},{F},3,Take Down,{P}●,40,This Pokémon also does 10 damage to itself.
753,Houndstone,MEG,66,Stage 1 Pokémon,n/a,n/a,Greavard,140,{P},{D},{F},3,Horrifying Bite,{P},30,"Flip a coin until you get tails. For each heads, choose a random card from your opponent’s hand. Your opponent reveals those cards and shuffles them into their deck."
753,Houndstone,MEG,66,Stage 1 Pokémon,n/a,n/a,Greavard,140,{P},{D},{F},3,Hammer In,{P}{P}●,130,n/a
754,Mega Latias ex,MEG,100,Basic Pokémon,Mega Pokémon ex,n/a,n/a,280,竜,n/a,n/a,1,Strafe,●,40,You may switch this Pokémon with 1 of your Benched Pokémon.
754,Mega Latias ex,MEG,100,Basic Pokémon,Mega Pokémon ex,n/a,n/a,280,竜,n/a,n/a,1,Illusory Impulse,{R}{P}●,300,Discard all Energy from this Pokémon.
755,Latios,MEG,101,Basic Pokémon,n/a,n/a,n/a,130,竜,n/a,n/a,1,[Ability] Lustrous Assist,n/a,n/a,"Once during your turn, when your Mega Latias {ex} moves from your Bench to the Active Spot, you may use this Ability. Move any amount of Energy from your Benched Pokémon to your Active Pokémon."
755,Latios,MEG,101,Basic Pokémon,n/a,n/a,n/a,130,竜,n/a,n/a,1,Dragon Claw,{W}{P}●,130,n/a
756,Mega Kangaskhan ex,MEG,104,Basic Pokémon,Mega Pokémon ex,n/a,n/a,300,{C},{F},n/a,3,[Ability] Run Errand,n/a,n/a,"Once during your turn, if this Pokémon is in the Active Spot, you may use this Ability. Draw 2 cards. You can’t use more than 1 Run Errand Ability each turn."
756,Mega Kangaskhan ex,MEG,104,Basic Pokémon,Mega Pokémon ex,n/a,n/a,300,{C},{F},n/a,3,Rapid-Fire Combo,●●●,200,Flip a coin until you get tails. This attack does 50 more damage for each heads.
757,Delibird,MEG,105,Basic Pokémon,n/a,n/a,n/a,90,{C},{L},{F},1,Quick Gift,●,n/a,"If you go first, you can use this attack during your first turn. Search your deck for a card and put it into your hand. Then, shuffle your deck."
757,Delibird,MEG,105,Basic Pokémon,n/a,n/a,n/a,90,{C},{L},{F},1,Gentle Slap,●●,30,n/a
758,Buneary,MEG,107,Basic Pokémon,n/a,n/a,n/a,70,{C},{F},n/a,1,Charm,●,n/a,"During your opponent’s next turn, attacks used by the Defending Pokémon do 20 less damage (before applying Weakness and Resistance)."
758,Buneary,MEG,107,Basic Pokémon,n/a,n/a,n/a,70,{C},{F},n/a,1,Skip,●,10,n/a
