カード ID,カード名,エキスパンションマーク,コレクション番号,ポケモンの進化の段階/エネルギー・トレーナーズの種類,ルール,カテゴリ,進化前,HP,タイプ,弱点,抵抗力,にげる,ワザ名,コスト,ダメージ,効果の説明
455,ロケット団のニドキングex,MC,437/742,ポケモン/2進化,ex,トレーナーのポケモン（ロケット団・サカキ）,ロケット団のニドリーノ,330,悪,闘,n/a,3,キングインパクト,悪悪悪●,240,n/a
456,ロケット団のズバット,MC,438/742,ポケモン/たね,n/a,トレーナーのポケモン（ロケット団・したっぱ・女）,n/a,50,悪,雷,闘,1,どくをとばす,悪,n/a,相手のバトルポケモンを【どく】にする。
457,ロケット団のゴルバット,MC,439/742,ポケモン/1進化,n/a,トレーナーのポケモン（ロケット団・したっぱ・女）,ロケット団のズバット,80,悪,雷,闘,1,[特性]こっそりかみつく,n/a,n/a,自分の番に、このカードを手札から出して進化させたとき、1回使える。相手のポケモン1匹に、ダメカンを2個のせる。
457,ロケット団のゴルバット,MC,439/742,ポケモン/1進化,n/a,トレーナーのポケモン（ロケット団・したっぱ・女）,ロケット団のズバット,80,悪,雷,闘,1,あやしいひかり,悪,30,相手のバトルポケモンを【こんらん】にする。
458,ロケット団のクロバットex,MC,440/742,ポケモン/2進化,ex,トレーナーのポケモン（ロケット団・したっぱ・女）,ロケット団のゴルバット,310,悪,雷,闘,1,[特性]かみつきまわる,n/a,n/a,自分の番に、このカードを手札から出して進化させたとき、1回使える。相手のポケモン2匹に、それぞれダメカンを2個のせる。
458,ロケット団のクロバットex,MC,440/742,ポケモン/2進化,ex,トレーナーのポケモン（ロケット団・したっぱ・女）,ロケット団のゴルバット,310,悪,雷,闘,1,アサシンリターン,悪悪,120,のぞむなら、このポケモンを手札にもどす。（ポケモン以外のカードは、すべてトラッシュする。）
459,ロケット団のベトベター,SV10,067/098,ポケモン/たね,n/a,トレーナーのポケモン（ロケット団・したっぱ・男）,n/a,80,悪,闘,n/a,3,しんしょくヘドロ,悪●,n/a,次の相手の番の終わりに、このワザを受けたポケモンと、ついているすべてのカードを、トラッシュする。
460,ロケット団のベトベトン,SV10,068/098,ポケモン/1進化,n/a,トレーナーのポケモン（ロケット団・したっぱ・男）,ロケット団のベトベター,150,悪,闘,n/a,4,ベトベトまみれ,悪●,40,相手のバトルポケモンを【こんらん】にする。次の相手の番、このワザを受けたポケモンは、にげられない。
460,ロケット団のベトベトン,SV10,068/098,ポケモン/1進化,n/a,トレーナーのポケモン（ロケット団・したっぱ・男）,ロケット団のベトベター,150,悪,闘,n/a,4,ベノムハザード,悪悪●,100×,相手のバトルポケモンが受けている特殊状態の数×100ダメージ。
461,ロケット団のドガース,SV10,069/098,ポケモン/たね,n/a,トレーナーのポケモン（ロケット団・ラムダ）,n/a,70,悪,闘,n/a,1,[特性]アラートスモッグ,n/a,n/a,このポケモンが、バトル場で相手のポケモンからワザのダメージを受けたとき、自分の山札から、名前に「ドガース」とつくポケモンを2枚まで選び、ベンチに出す。そして山札を切る。
461,ロケット団のドガース,SV10,069/098,ポケモン/たね,n/a,トレーナーのポケモン（ロケット団・ラムダ）,n/a,70,悪,闘,n/a,1,ガスもれ,悪●,30,n/a
462,ロケット団のマタドガス,SV10,070/098,ポケモン/1進化,n/a,トレーナーのポケモン（ロケット団・ラムダ）,ロケット団のドガース,130,悪,闘,n/a,2,いっせいばくはつ,悪●,40×,おたがいの場の、名前に「ドガース」または「マタドガス」とつくポケモンの数×40ダメージ。
463,ロケット団のヤミカラス,MC,447/742,ポケモン/たね,n/a,トレーナーのポケモン（ロケット団・アテナ）,n/a,80,悪,雷,闘,1,たぶらかす,●,n/a,自分の山札からサポートを1枚選び、相手に見せて、手札に加える。そして山札を切る。
463,ロケット団のヤミカラス,MC,447/742,ポケモン/たね,n/a,トレーナーのポケモン（ロケット団・アテナ）,n/a,80,悪,雷,闘,1,いちゃもん,悪●,30,相手のバトルポケモンが持つワザを1つ選ぶ。次の相手の番、このワザを受けたポケモンは、選ばれたワザが使えない。
464,ロケット団のニューラ,MC,448/742,ポケモン/たね,n/a,トレーナーのポケモン（ロケット団・したっぱ・女）,n/a,80,悪,草,n/a,1,ひっかく,悪,20,n/a
464,ロケット団のニューラ,MC,448/742,ポケモン/たね,n/a,トレーナーのポケモン（ロケット団・したっぱ・女）,n/a,80,悪,草,n/a,1,ねくびをかく,悪悪,n/a,相手のベンチポケモン1匹に、そのポケモンにのっているダメカンの数×20ダメージ。［ベンチは弱点・抵抗力を計算しない。］
465,フォレトス,SV10,073/098,ポケモン/1進化,n/a,n/a,クヌギダマ,130,鋼,炎,草,2,アイアンシェイク,●,20,自分の場のポケモンについている【鋼】エネルギーを好きなだけ選び、自分のポケモンに好きなようにつけ替える。
465,フォレトス,SV10,073/098,ポケモン/1進化,n/a,n/a,クヌギダマ,130,鋼,炎,草,2,ハリケーンニードル,鋼●●●,80×,コインを4回投げ、オモテの数×80ダメージ。
466,エアームド,SV10,074/098,ポケモン/たね,n/a,n/a,n/a,110,鋼,雷,闘,1,はねやすめ,●,n/a,このポケモンのHPを「50」回復する。次の自分の番、このポケモンはにげられない。
466,エアームド,SV10,074/098,ポケモン/たね,n/a,n/a,n/a,110,鋼,雷,闘,1,メタルクロー,鋼●,60,n/a
467,ザマゼンタ,SV10,075/098,ポケモン/たね,n/a,n/a,n/a,130,鋼,炎,草,2,ストロングバッシュ,鋼鋼●,70,次の相手の番、このポケモンがワザのダメージを受けたとき、受けたダメージぶんのダメカンを、ワザを使ったポケモンにのせる。
468,ロケット団のコラッタ,MC,555/742,ポケモン/たね,n/a,トレーナーのポケモン（ロケット団・したっぱ・男）,n/a,50,無,闘,n/a,1,あぶないまえば,●,10,相手のバトルポケモンを【どく】にする。
469,ロケット団のラッタ,MC,556/742,ポケモン/1進化,n/a,トレーナーのポケモン（ロケット団・したっぱ・男）,ロケット団のコラッタ,90,無,闘,n/a,1,むこうみず,●,90,コインを2回投げ、すべてウラなら、このポケモンにも90ダメージ。
470,ロケット団のニャース,MC,559/742,ポケモン/たね,n/a,トレーナーのポケモン（ロケット団・サカキ）,n/a,70,無,闘,n/a,1,ねこばば,●,n/a,相手の手札からオモテを見ないで1枚選び、そのカードのオモテを見て、相手の山札にもどして切る。
470,ロケット団のニャース,MC,559/742,ポケモン/たね,n/a,トレーナーのポケモン（ロケット団・サカキ）,n/a,70,無,闘,n/a,1,みだれひっかき,●●,20×,コインを3回投げ、オモテの数×20ダメージ。
471,ロケット団のペルシアンex,MC,560/742,ポケモン/1進化,ex,トレーナーのポケモン（ロケット団・サカキ）,ロケット団のニャース,260,無,闘,n/a,2,こうまんしれい,●●,n/a,相手の山札を上から10枚オモテにする。のぞむなら、その中にあるポケモンが持つワザを1つ選び、このワザとして使う。オモテにしたカードは山札にもどして切る。
471,ロケット団のペルシアンex,MC,560/742,ポケモン/1進化,ex,トレーナーのポケモン（ロケット団・サカキ）,ロケット団のニャース,260,無,闘,n/a,2,クルーエルスラッシュ,●●●,140,相手のバトルポケモンを【こんらん】にする。
472,ガルーラ,SV10,080/098,ポケモン/たね,n/a,n/a,n/a,120,無,闘,n/a,2,ひっぱたく,●●,50,n/a
472,ガルーラ,SV10,080/098,ポケモン/たね,n/a,n/a,n/a,120,無,闘,n/a,2,ピヨピヨパンチ,●●●,90×,コインを2回投げ、オモテの数×90ダメージ。
473,ロケット団のポリゴン,SV10,081/098,ポケモン/たね,n/a,トレーナーのポケモン（ロケット団・したっぱ・男）,n/a,60,無,闘,n/a,1,ハッキング,●,n/a,自分の手札を1枚選び、トラッシュする。その後、相手は相手自身の手札を1枚選び、トラッシュする。
474,ロケット団のポリゴン2,SV10,082/098,ポケモン/1進化,n/a,トレーナーのポケモン（ロケット団・したっぱ・男）,ロケット団のポリゴン,90,無,闘,n/a,1,Rコマンド,●●●,20×,自分のトラッシュにある、名前に「ロケット団」とつくサポートの枚数×20ダメージ。
475,ロケット団のポリゴンZ,SV10,083/098,ポケモン/2進化,n/a,トレーナーのポケモン（ロケット団・したっぱ・男）,ロケット団のポリゴン2,140,無,闘,n/a,1,[特性]さいこうちく,n/a,n/a,自分の番に、自分の手札を2枚トラッシュするなら、1回使える。自分の山札を1枚引く。
475,ロケット団のポリゴンZ,SV10,083/098,ポケモン/2進化,n/a,トレーナーのポケモン（ロケット団・したっぱ・男）,ロケット団のポリゴン2,140,無,闘,n/a,1,Rコマンド,●●,20×,自分のトラッシュにある、名前に「ロケット団」とつくサポートの枚数×20ダメージ。
476,スバメ,MC,579/742,ポケモン/たね,n/a,n/a,n/a,60,無,雷,闘,1,つばさでうつ,●,20,n/a
477,オオスバメ,MC,580/742,ポケモン/1進化,n/a,n/a,スバメ,100,無,雷,闘,n/a,くわえる,●,n/a,自分の山札を3枚引く。
477,オオスバメ,MC,580/742,ポケモン/1進化,n/a,n/a,スバメ,100,無,雷,闘,n/a,スピードウイング,●●,70,n/a
478,イキリンコ,SV10,086/098,ポケモン/たね,n/a,n/a,n/a,70,無,雷,闘,1,つきとばす,●,20,のぞむなら、相手のバトルポケモンをベンチポケモンと入れ替える。［バトル場に出すポケモンは相手が選ぶ。］
479,ツタージャ,MC,040/742,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,たいあたり,草,10,n/a
479,ツタージャ,MC,040/742,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,つるのムチ,草草,30,n/a
480,ジャノビー,MC,041/742,ポケモン/1進化,n/a,n/a,ツタージャ,100,草,炎,n/a,1,まきつく,草,20,コインを1回投げオモテなら、相手のバトルポケモンを【マヒ】にする。
480,ジャノビー,MC,041/742,ポケモン/1進化,n/a,n/a,ツタージャ,100,草,炎,n/a,1,つるのムチ,草●●,60,n/a
481,ジャローダex,MC,042/742,ポケモン/2進化,ex,n/a,ジャノビー,320,草,炎,n/a,2,[特性]ロイヤルエール,n/a,n/a,このポケモンがいるかぎり、自分のポケモンが使うワザの、相手のバトルポケモンへのダメージは「+20」される。
481,ジャローダex,MC,042/742,ポケモン/2進化,ex,n/a,ジャノビー,320,草,炎,n/a,2,グラスオーダー,草●●●,150,のぞむなら、自分の山札から好きなカードを3枚まで選び、手札に加える。そして山札を切る。
482,ヤナップ,SV11B,004/086,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,もってくる,●,n/a,自分の山札を1枚引く。
482,ヤナップ,SV11B,004/086,ポケモン/たね,n/a,n/a,n/a,70,草,炎,n/a,1,ひっかく,●●,30,n/a
483,ヤナッキー,SV11B,005/086,ポケモン/1進化,n/a,n/a,ヤナップ,100,草,炎,n/a,1,ひっぱたく,●●,70,n/a
484,チュリネ,SV11B,006/086,ポケモン/たね,n/a,n/a,n/a,60,草,炎,n/a,1,かくれる,●,n/a,コインを1回投げオモテなら、次の相手の番、このポケモンはワザのダメージや効果を受けない。
484,チュリネ,SV11B,006/086,ポケモン/たね,n/a,n/a,n/a,60,草,炎,n/a,1,このは,草,10,n/a
485,ドレディア,SV11B,007/086,ポケモン/1進化,n/a,n/a,チュリネ,100,草,炎,n/a,1,げんわくアロマ,草,30,コインを1回投げオモテなら、相手のバトルポケモンを【どく】と【マヒ】にする。ウラなら、相手のバトルポケモンを【こんらん】にする。
485,ドレディア,SV11B,007/086,ポケモン/1進化,n/a,n/a,チュリネ,100,草,炎,n/a,1,いあいぎり,草●●,70,n/a
486,マラカッチ,SV11B,008/086,ポケモン/たね,n/a,n/a,n/a,100,草,炎,n/a,1,はつらつニードル,草,20,この番に、このポケモンのHPを回復していたなら、100ダメージ追加。
486,マラカッチ,SV11B,008/086,ポケモン/たね,n/a,n/a,n/a,100,草,炎,n/a,1,つきさす,草●,50,n/a
487,カブルモ,SV11B,009/086,ポケモン/たね,n/a,n/a,n/a,60,草,炎,n/a,1,[特性]しげきしんか,n/a,n/a,自分の場に「チョボマキ」がいるなら、このポケモンは、最初の自分の番や、出したばかりの番でも進化できる。
487,カブルモ,SV11B,009/086,ポケモン/たね,n/a,n/a,n/a,60,草,炎,n/a,1,つのでつく,●,10,n/a
488,タマゲタケ,MC,048/742,ポケモン/たね,n/a,n/a,n/a,50,草,炎,n/a,1,どくのほうし,●,n/a,相手のバトルポケモンを【どく】にする。
489,モロバレル,MC,049/742,ポケモン/1進化,n/a,n/a,タマゲタケ,120,草,炎,n/a,2,あぶないはんのう,●,30,相手のバトルポケモンが特殊状態なら、120ダメージ追加。
489,モロバレル,MC,049/742,ポケモン/1進化,n/a,n/a,タマゲタケ,120,草,炎,n/a,2,タネばくだん,草●,60,n/a
490,ビクティニ,MC,107/742,ポケモン/たね,n/a,n/a,n/a,80,炎,水,n/a,1,Vフォース,炎炎,120,自分のベンチポケモンが4匹以下なら、このワザは失敗。
491,ダルマッカ,MC,116/742,ポケモン/たね,n/a,n/a,n/a,80,炎,水,n/a,2,おにび,炎●,30,n/a
492,ヒヒダルマ,MC,117/742,ポケモン/1進化,n/a,n/a,ダルマッカ,140,炎,水,n/a,2,やきこがす,炎●,50,相手のバトルポケモンを【やけど】にする。
492,ヒヒダルマ,MC,117/742,ポケモン/1進化,n/a,n/a,ダルマッカ,140,炎,水,n/a,2,スマッシュヘッド,炎●●●,180,このポケモンについているエネルギーを2個選び、トラッシュする。
493,ヒトモシ,SV11B,015/086,ポケモン/たね,n/a,n/a,n/a,60,炎,水,n/a,1,てらしてもやす,炎,n/a,自分の山札を上から1枚見て、もとにもどす。のぞむなら、そのカードをトラッシュする。
494,ランプラー,SV11B,016/086,ポケモン/1進化,n/a,n/a,ヒトモシ,80,炎,水,n/a,1,だいもんじ,炎,50,このポケモンについているエネルギーを1個選び、トラッシュする。
495,シャンデラ,SV11B,017/086,ポケモン/2進化,n/a,n/a,ランプラー,150,炎,水,n/a,2,はじけるひばしら,炎,50,自分のトラッシュに「基本【炎】エネルギー」が10枚以上あるなら、100ダメージ追加。
495,シャンデラ,SV11B,017/086,ポケモン/2進化,n/a,n/a,ランプラー,150,炎,水,n/a,2,もえつくす,炎炎,180,このポケモンについているエネルギーを、すべてトラッシュする。
496,メラルバ,SV11B,018/086,ポケモン/たね,n/a,n/a,n/a,60,炎,水,n/a,1,つつきおとす,●,10,ダメージを与える前に、相手のバトルポケモンについている「ポケモンのどうぐ」をトラッシュする。
497,ウルガモス,MC,124/742,ポケモン/1進化,n/a,n/a,メラルバ,120,炎,水,n/a,1,[特性]ねっぱりんぷん,n/a,n/a,自分の番に、自分の手札から「基本【炎】エネルギー」を1枚トラッシュするなら、1回使える。相手のバトルポケモンを【やけど】にする。
497,ウルガモス,MC,124/742,ポケモン/1進化,n/a,n/a,メラルバ,120,炎,水,n/a,1,ほのおのつばさ,炎●●,70,n/a
498,ヒヤップ,SV11B,020/086,ポケモン/たね,n/a,n/a,n/a,70,水,雷,n/a,1,もってくる,●,n/a,自分の山札を1枚引く。
498,ヒヤップ,SV11B,020/086,ポケモン/たね,n/a,n/a,n/a,70,水,雷,n/a,1,ひっかく,●●,30,n/a
499,ヒヤッキー,SV11B,021/086,ポケモン/1進化,n/a,n/a,ヒヤップ,100,水,雷,n/a,1,ひっぱたく,●●,70,n/a
500,オタマロ,SV11B,022/086,ポケモン/たね,n/a,n/a,n/a,60,水,雷,n/a,1,りんしょう,●●,20×,自分の場の、ワザ「りんしょう」を持つポケモンの数×20ダメージ。
501,ガマガル,SV11B,023/086,ポケモン/1進化,n/a,n/a,オタマロ,90,水,雷,n/a,2,りんしょう,●●,40×,自分の場の、ワザ「りんしょう」を持つポケモンの数×40ダメージ。
501,ガマガル,SV11B,023/086,ポケモン/1進化,n/a,n/a,オタマロ,90,水,雷,n/a,2,スプラッシュ,水●●,60,n/a
502,ガマゲロゲ,SV11B,024/086,ポケモン/2進化,n/a,n/a,ガマガル,170,水,雷,n/a,3,りんしょう,●●●,70×,自分の場の、ワザ「りんしょう」を持つポケモンの数×70ダメージ。
502,ガマゲロゲ,SV11B,024/086,ポケモン/2進化,n/a,n/a,ガマガル,170,水,雷,n/a,3,ハイパーボイス,水●●●,160,n/a
503,プロトーガ,SV11B,025/086,ポケモン/1進化,n/a,n/a,古びたふたの化石,100,水,雷,n/a,3,たいこのもくず,水,30×,相手のトラッシュにあるグッズの枚数×30ダメージ。
503,プロトーガ,SV11B,025/086,ポケモン/1進化,n/a,n/a,古びたふたの化石,100,水,雷,n/a,3,なみのり,水●●,80,n/a
504,アバゴーラ,SV11B,026/086,ポケモン/2進化,n/a,n/a,プロトーガ,180,水,雷,n/a,3,[特性]マイティシェル,n/a,n/a,このポケモンは、特殊エネルギーがついている相手のポケモンから、ワザのダメージや効果を受けない。
504,アバゴーラ,SV11B,026/086,ポケモン/2進化,n/a,n/a,プロトーガ,180,水,雷,n/a,3,かじりつく,水●●,150,次の相手の番、このワザを受けたポケモンは、にげられない。
505,ママンボウ,SV11B,027/086,ポケモン/たね,n/a,n/a,n/a,110,水,雷,n/a,1,[特性]やさしいヒレ,n/a,n/a,このポケモンがバトル場にいるなら、自分の番に1回使える。自分のトラッシュから、HPが「70」以下の【たね】ポケモンを1枚選び、ベンチに出す。
505,ママンボウ,SV11B,027/086,ポケモン/たね,n/a,n/a,n/a,110,水,雷,n/a,1,たきのぼり,水●●,70,n/a
506,クマシュン,SV11B,028/086,ポケモン/たね,n/a,n/a,n/a,70,水,鋼,n/a,2,はなみずまみれ,水,10,次の相手の番、このワザを受けたポケモンは、ワザが使えない。
507,ツンベアー,SV11B,029/086,ポケモン/1進化,n/a,n/a,クマシュン,150,水,鋼,n/a,3,れんぞくずつき,●,50×,ウラが出るまでコインを投げ、オモテの数×50ダメージ。
507,ツンベアー,SV11B,029/086,ポケモン/1進化,n/a,n/a,クマシュン,150,水,鋼,n/a,3,ぜったいれいど,水水水●,150,次の相手の番、このワザを受けたポケモンは、ワザが使えない。
508,フリージオ,SV11B,030/086,ポケモン/たね,n/a,n/a,n/a,90,水,鋼,n/a,1,ひきずりだす,水,n/a,相手のベンチポケモンを1匹選び、バトルポケモンと入れ替える。その後、新しく出てきたポケモンに20ダメージ。
508,フリージオ,SV11B,030/086,ポケモン/たね,n/a,n/a,n/a,90,水,鋼,n/a,1,つらら,水,30,n/a
509,キュレムex,MC,203/742,ポケモン/たね,ex,n/a,n/a,230,水,鋼,n/a,2,きりさく,●●,50,n/a
509,キュレムex,MC,203/742,ポケモン/たね,ex,n/a,n/a,230,水,鋼,n/a,2,ブリザードバースト,水水●,130,相手のベンチポケモン全員にも、それぞれ、相手がすでにとったサイドの枚数×10ダメージ。［ベンチは弱点・抵抗力を計算しない。］
510,エモンガ,MC,253/742,ポケモン/たね,n/a,n/a,n/a,70,雷,闘,n/a,n/a,なかまをよぶ,●,n/a,自分の山札から【たね】ポケモンを2枚まで選び、ベンチに出す。そして山札を切る。
510,エモンガ,MC,253/742,ポケモン/たね,n/a,n/a,n/a,70,雷,闘,n/a,n/a,バチバチ,雷,20,n/a
511,シビシラス,MC,256/742,ポケモン/たね,n/a,n/a,n/a,40,雷,闘,n/a,n/a,じっとする,●,n/a,このポケモンのHPを「10」回復する。
512,シビビール,MC,257/742,ポケモン/1進化,n/a,n/a,シビシラス,90,雷,闘,n/a,2,[特性]エレキダイナモ,n/a,n/a,自分の番に1回使える。自分のトラッシュから「基本【雷】エネルギー」を1枚選び、ベンチポケモンにつける。
512,シビビール,MC,257/742,ポケモン/1進化,n/a,n/a,シビシラス,90,雷,闘,n/a,2,ライトニングボール,雷雷●,50,n/a
513,シビルドン,SV11B,035/086,ポケモン/2進化,n/a,n/a,シビビール,160,雷,闘,n/a,3,かみなりのキバ,雷,60,コインを1回投げオモテなら、相手のバトルポケモンを【マヒ】にする。
513,シビルドン,SV11B,035/086,ポケモン/2進化,n/a,n/a,シビビール,160,雷,闘,n/a,3,バリバリかいてん,雷雷雷●,100×,コインを4回投げ、オモテの数×100ダメージ。
514,ボルトロス,MC,258/742,ポケモン/たね,n/a,n/a,n/a,120,雷,闘,n/a,1,じゅうでん,●,n/a,自分の山札から「基本【雷】エネルギー」を1枚選び、このポケモンにつける。そして山札を切る。
514,ボルトロス,MC,258/742,ポケモン/たね,n/a,n/a,n/a,120,雷,闘,n/a,1,ディザスターボルト,雷●●,110,このポケモンについているエネルギーを1個選び、トラッシュする。
515,ゼクロムex,MC,259/742,ポケモン/たね,ex,n/a,n/a,230,雷,闘,n/a,2,きりさく,●●,50,n/a
515,ゼクロムex,MC,259/742,ポケモン/たね,ex,n/a,n/a,230,雷,闘,n/a,2,ボルテージバースト,雷雷●,130,相手がすでにとったサイドの枚数×50ダメージ追加。このポケモンにも30ダメージ。
516,ムンナ,SV11B,038/086,ポケモン/たね,n/a,n/a,n/a,70,超,悪,闘,1,ねむる,●,n/a,このポケモンを【ねむり】にする。このポケモンのHPを「30」回復する。
516,ムンナ,SV11B,038/086,ポケモン/たね,n/a,n/a,n/a,70,超,悪,闘,1,つぶやく,超,10,n/a
517,ムシャーナ,SV11B,039/086,ポケモン/1進化,n/a,n/a,ムンナ,120,超,悪,闘,2,ドリームコール,●,n/a,自分の山札から「マコモ」を好きなだけ選び、相手に見せて、手札に加える。そして山札を切る。
517,ムシャーナ,SV11B,039/086,ポケモン/1進化,n/a,n/a,ムンナ,120,超,悪,闘,2,ねむりのはどう,超,50,相手のバトルポケモンを【ねむり】にする。
518,ユニラン,SV11B,040/086,ポケモン/たね,n/a,n/a,n/a,40,超,悪,闘,1,ころがる,●,10,n/a
519,ダブラン,SV11B,041/086,ポケモン/1進化,n/a,n/a,ユニラン,70,超,悪,闘,1,さいぼうしんか,●,n/a,自分の場のポケモン1匹から進化するカードを、自分の山札から1枚選び、そのポケモンにのせて進化させる。そして山札を切る。
519,ダブラン,SV11B,041/086,ポケモン/1進化,n/a,n/a,ユニラン,70,超,悪,闘,1,しるをとばす,●,30,n/a
520,ランクルス,SV11B,042/086,ポケモン/2進化,n/a,n/a,ダブラン,140,超,悪,闘,1,さいぼうかくせい,●,n/a,自分のベンチポケモン全員からそれぞれ進化するカードを、自分の山札から1枚ずつ選び、それぞれにのせて進化させる。そして山札を切る。
520,ランクルス,SV11B,042/086,ポケモン/2進化,n/a,n/a,ダブラン,140,超,悪,闘,1,エボルラリアット,●,40,自分の場の進化ポケモンの数×40ダメージ追加。
521,リグレー,SV11B,043/086,ポケモン/たね,n/a,n/a,n/a,60,超,悪,闘,1,ちょっとずらす,超,n/a,相手の場のポケモンについているエネルギーを1個選び、相手の別のポケモンにつけ替える。
521,リグレー,SV11B,043/086,ポケモン/たね,n/a,n/a,n/a,60,超,悪,闘,1,ビーム,●●●,40,n/a
522,オーベム,SV11B,044/086,ポケモン/1進化,n/a,n/a,リグレー,90,超,悪,闘,1,めいそう,超,n/a,このポケモンのHPを「40」回復する。
522,オーベム,SV11B,044/086,ポケモン/1進化,n/a,n/a,リグレー,90,超,悪,闘,1,サイコキネシス,●●●,80,相手のバトルポケモンについているエネルギーの数×30ダメージ追加。
523,ゴビット,SV11B,045/086,ポケモン/たね,n/a,n/a,n/a,90,超,悪,闘,3,ぜんりょくパンチ,●●,60,コインを1回投げウラなら、このワザは失敗。
524,ゴルーグ,SV11B,046/086,ポケモン/1進化,n/a,n/a,ゴビット,160,超,悪,闘,4,ダブルスマッシュ,●●●,80×,コインを2回投げ、オモテの数×80ダメージ。
524,ゴルーグ,SV11B,046/086,ポケモン/1進化,n/a,n/a,ゴビット,160,超,悪,闘,4,ゴルーグハンマー,超超●●●,200,n/a
525,メロエッタex,SV11B,047/086,ポケモン/たね,ex,n/a,n/a,200,超,悪,闘,1,[特性]デビューライブ,n/a,n/a,このポケモンは、先攻プレイヤーの最初の番でも、ワザが使える。
525,メロエッタex,SV11B,047/086,ポケモン/たね,ex,n/a,n/a,200,超,悪,闘,1,エコーボイス,超,30,次の自分の番、このポケモンの「エコーボイス」のダメージは「+80」される。
526,モグリュー,MC,385/742,ポケモン/たね,n/a,n/a,n/a,70,闘,草,n/a,1,どろかけ,闘,10,n/a
526,モグリュー,MC,385/742,ポケモン/たね,n/a,n/a,n/a,70,闘,草,n/a,1,どつく,闘闘,30,n/a
527,ドリュウズex,MC,387/742,ポケモン/1進化,ex,n/a,モグリュー,270,闘,草,n/a,3,かんつうドリル,闘闘,60,ダメカンがのっている相手のベンチポケモン1匹にも、60ダメージ。［ベンチは弱点・抵抗力を計算しない。］
527,ドリュウズex,MC,387/742,ポケモン/1進化,ex,n/a,モグリュー,270,闘,草,n/a,3,がんせきおとし,闘闘闘,200,このワザのダメージは抵抗力を計算しない。
528,ドッコラー,MC,388/742,ポケモン/たね,n/a,n/a,n/a,70,闘,超,n/a,2,けたぐり,闘,10,n/a
528,ドッコラー,MC,388/742,ポケモン/たね,n/a,n/a,n/a,70,闘,超,n/a,2,かいりき,闘●●,50,n/a
529,ドテッコツ,MC,389/742,ポケモン/1進化,n/a,n/a,ドッコラー,100,闘,超,n/a,3,けたぐり,闘,30,n/a
529,ドテッコツ,MC,389/742,ポケモン/1進化,n/a,n/a,ドッコラー,100,闘,超,n/a,3,アームハンマー,闘●●,60,相手の山札を上から1枚トラッシュする。
530,ローブシン,MC,390/742,ポケモン/2進化,n/a,n/a,ドテッコツ,140,闘,超,n/a,3,[特性]マスターアーツ,n/a,n/a,このポケモンについている【闘】エネルギー1個につき、このポケモンの最大HPは「+40」される。
530,ローブシン,MC,390/742,ポケモン/2進化,n/a,n/a,ドテッコツ,140,闘,超,n/a,3,ふりまわす,闘●●●,100,コインを2回投げ、オモテの数×50ダメージ追加。
531,ナゲキ,SV11B,053/086,ポケモン/たね,n/a,n/a,n/a,130,闘,超,n/a,2,せおいなげ,闘●,-120,相手のバトルポケモンの【にげる】ためのエネルギーの数×30ダメージぶん、このワザのダメージは小さくなる。
532,イシズマイ,SV11B,054/086,ポケモン/たね,n/a,n/a,n/a,70,闘,草,n/a,2,じたばた,●,10×,このポケモンにのっているダメカンの数×10ダメージ。
532,イシズマイ,SV11B,054/086,ポケモン/たね,n/a,n/a,n/a,70,闘,草,n/a,2,ツメをたてる,●●,20,n/a
533,イワパレス,SV11B,055/086,ポケモン/1進化,n/a,n/a,イシズマイ,150,闘,草,n/a,3,[特性]がんじょう,n/a,n/a,このポケモンのHPがまんたんの状態で、このポケモンがワザのダメージを受けて【きぜつ】するとき、【きぜつ】せず、残りHPが「10」の状態で場に残る。
533,イワパレス,SV11B,055/086,ポケモン/1進化,n/a,n/a,イシズマイ,150,闘,草,n/a,3,ストーンエッジ,闘●●,80,コインを1回投げオモテなら、60ダメージ追加。
534,ランドロス,MC,398/742,ポケモン/たね,n/a,n/a,n/a,130,闘,草,n/a,2,ほうさく,●,n/a,自分のトラッシュから「基本【闘】エネルギー」を1枚選び、このポケモンにつける。
534,ランドロス,MC,398/742,ポケモン/たね,n/a,n/a,n/a,130,闘,草,n/a,2,じしん,闘●●,110,自分のベンチポケモン全員にも、それぞれ10ダメージ。［ベンチは弱点・抵抗力を計算しない。］
535,フシデ,SV11B,057/086,ポケモン/たね,n/a,n/a,n/a,80,悪,闘,n/a,3,どくをとばす,●,n/a,相手のバトルポケモンを【どく】にする。
536,ホイーガ,SV11B,058/086,ポケモン/1進化,n/a,n/a,フシデ,100,悪,闘,n/a,3,ベノムショック,●,30,相手のバトルポケモンが【どく】なら、60ダメージ追加。
537,ペンドラー,SV11B,059/086,ポケモン/2進化,n/a,n/a,ホイーガ,160,悪,闘,n/a,3,[特性]どくのトゲ,n/a,n/a,このポケモンが、バトル場で相手のポケモンからワザのダメージを受けたとき、ワザを使ったポケモンを【どく】にする。
537,ペンドラー,SV11B,059/086,ポケモン/2進化,n/a,n/a,ホイーガ,160,悪,闘,n/a,3,ベノムショック,悪●,90,相手のバトルポケモンが【どく】なら、90ダメージ追加。
